Время,Теория,,,Материалы,,,,,Практика,,
,,,,jupyter notebook,html,,презентация,видео,Вариант 1,Вариант 2,Вариант 3
неделя 1,Задачи CV,,,,,,https://docs.google.com/presentation/d/1k49VqEXLZjdh70N6Xjt7ytYQ82M5NBKtF7IJxzGrk3A/edit#slide=id.p,https://disk.yandex.ru/d/WZDlNAPIFrL-bQ/GMT20230904-131154_Recording_1920x1080.mp4,,,
,,,,,,,,,,,
,Классический ML,,,,,,,,,,
,,Кластеризация,KNN,,https://cs231n.github.io/classification/#k---nearest-neighbor-classifier,,https://docs.google.com/presentation/d/1HMUfWEAVLWreH7EYbztg4EI8WAq7CqJWqGUiG1YC27k/edit#slide=id.g985d87da51_0_84,,,,
,,,K-means,https://colab.research.google.com/drive/1t8NsXxZW7tyCFizXoKW1HrnOjTxgxwe2#scrollTo=V3uQ1gNIvDof,https://education.yandex.ru/handbook/ml/article/klasterizaciya,https://scikit-learn.org/stable/modules/clustering.html,,,,,
,,,DB-Scan,https://colab.research.google.com/drive/1t8NsXxZW7tyCFizXoKW1HrnOjTxgxwe2#scrollTo=KTDxQN_GsCXj,https://scikit-learn.org/stable/modules/clustering.html#dbscan,,,,,,
,,Линейные модели,Loss-функция,https://colab.research.google.com/drive/1XA839GhGM9MOgqz6aKmFIlcAXB7f4c2K#scrollTo=495dFZT6oocy,,,,,,,
,,,Линейная регресиия.,https://colab.research.google.com/drive/1XA839GhGM9MOgqz6aKmFIlcAXB7f4c2K#scrollTo=2nRrlLeurEar,,,,,,,
,,,Логистическая регресиия,,https://scikit-learn.org/stable/modules/linear_model.html#logistic-regression,,,,,,
,,,градиентный спуск,https://colab.research.google.com/drive/1XA839GhGM9MOgqz6aKmFIlcAXB7f4c2K#scrollTo=cfokn1dJuD-G,https://cs231n.github.io/optimization-1/#gradcompute,,,,,,
,,,регуляризация,https://colab.research.google.com/drive/1XA839GhGM9MOgqz6aKmFIlcAXB7f4c2K#scrollTo=WhUnTY-NuD_p,https://cs231n.github.io/neural-networks-2/#reg,,https://docs.google.com/presentation/d/1HnXRCye2taclh6vvnxq3Wlc2X54HhsP0zPXQ-5WBidM/edit#slide=id.gfa0ed26e67_0_9,,,,
,,,Линейный классификатор,https://colab.research.google.com/drive/1XA839GhGM9MOgqz6aKmFIlcAXB7f4c2K#scrollTo=0SutrO29uD_B,https://cs231n.github.io/linear-classify/#loss-function,,https://docs.google.com/presentation/d/1HnXRCye2taclh6vvnxq3Wlc2X54HhsP0zPXQ-5WBidM/edit#slide=id.g60c6efa2cf_0_27,,,,
,,,Метрики,https://github.com/Gan4x4/ml_snippets/blob/main/Metrics.ipynb,https://education.yandex.ru/handbook/ml/article/metriki-klassifikacii-i-regressii,,,,,,
,,,bias-variance traid-off,https://colab.research.google.com/drive/1_uJnFmBHGV92hPlMdn_YbC4y9iPumVKF#scrollTo=wjlRni2G3OSi,,,,,,,
,,,"сross-validation, стратификация",https://education.yandex.ru/handbook/ml/article/kross-validaciya,https://cs231n.github.io/classification/#validation-sets-for-hyperparameter-tuning,,,,,,
,,,SVM,,https://drive.google.com/file/d/1Vs2B5M_lmhyOEPhROi-s5O9wmy7qUpCf/view?usp=sharing,,,https://www.youtube.com/watch?v=_PwhiWxHK8o,,,
неделя 2,,Древесные модели,,https://github.com/EPC-MSU/EduNet-lectures/blob/dev-2.0/out/L03_Classic_ML.ipynb,,,,,,,
,,,деревья решений,https://colab.research.google.com/drive/1_uJnFmBHGV92hPlMdn_YbC4y9iPumVKF#scrollTo=2My8Ah1C3OSB,,,,,,,
,,,random forest,https://colab.research.google.com/drive/1_uJnFmBHGV92hPlMdn_YbC4y9iPumVKF#scrollTo=dq7R5vgj3OTW,,,,,,,
,,,"RSM,Bootstrap",https://colab.research.google.com/drive/1_uJnFmBHGV92hPlMdn_YbC4y9iPumVKF#scrollTo=NZ9MbGv33OTM,,,,,,,
,,,bagging,https://colab.research.google.com/drive/1_uJnFmBHGV92hPlMdn_YbC4y9iPumVKF#scrollTo=8oFZ3fnD3OTB,https://education.yandex.ru/handbook/ml/article/ansambli-v-mashinnom-obuchenii,,,,,,
,,,Блендинг и Стэкинг,https://colab.research.google.com/drive/1_uJnFmBHGV92hPlMdn_YbC4y9iPumVKF#scrollTo=WOyAKG0l3OUS,,,,,,,
,,,boosting,https://colab.research.google.com/drive/1_uJnFmBHGV92hPlMdn_YbC4y9iPumVKF#scrollTo=ghkLR5GY3OTx,https://education.yandex.ru/handbook/ml/article/gradientnyj-busting,https://colab.research.google.com/drive/1hILdJzsuAsXabA4aIwtb9RGgUn_bvhCL,,,,,
,,Подготовка данных,,,,,,,,,
,,,нормировка,https://cs231n.github.io/neural-networks-2/#datapre,,,,,,,
,,,балансировка данных,https://colab.research.google.com/drive/1t8NsXxZW7tyCFizXoKW1HrnOjTxgxwe2#scrollTo=SCI7vE1R5yJJ,,,,,,,
неделя 3,Deep learning,,,,,,,,,,
